gross,taxfree,notaxfree
132.00,0,28
133.00,0,28
134.00,0,28
135.00,0,29
136.00,0,29
137.00,0,29
138.00,0,29
139.00,0,30
140.00,0,30
141.00,0,30
142.00,0,30
143.00,0,30
144.00,0,31
145.00,0,31
146.00,0,31
147.00,0,31
148.00,0,32
149.00,0,32
150.00,0,32
151.00,0,32
152.00,0,32
153.00,0,33
154.00,0,33
155.00,0,33
156.00,0,33
157.00,0,34
158.00,0,34
159.00,0,34
160.00,0,34
161.00,0,34
162.00,0,35
163.00,0,35
164.00,0,35
165.00,0,35
166.00,0,36
167.00,0,36
168.00,0,36
169.00,0,36
170.00,0,36
171.00,0,37
172.00,0,37
173.00,0,37
174.00,0,37
175.00,0,38
176.00,0,38
177.00,0,38
178.00,0,38
179.00,0,38
180.00,0,39
181.00,0,39
182.00,0,39
183.00,0,39
184.00,0,40
185.00,0,40
186.00,0,40
187.00,0,40
188.00,0,40
189.00,0,41
190.00,0,41
191.00,0,41
192.00,0,41
193.00,0,42
194.00,0,42
195.00,0,42
196.00,0,42
197.00,0,42
198.00,0,43
199.00,0,43
200.00,0,43
201.00,0,43
202.00,0,44
203.00,0,44
204.00,0,44
205.00,0,44
206.00,0,44
207.00,0,45
208.00,0,45
209.00,0,45
210.00,0,45
211.00,0,46
212.00,0,46
213.00,0,46
214.00,0,46
215.00,0,46
216.00,0,47
217.00,0,47
218.00,0,47
219.00,0,47
220.00,0,48
221.00,0,48
222.00,0,48
223.00,0,48
224.00,0,48
225.00,0,49
226.00,0,49
227.00,0,49
228.00,0,49
229.00,0,50
230.00,0,50
231.00,0,50
232.00,0,50
233.00,0,50
234.00,0,51
235.00,0,51
236.00,0,51
237.00,0,51
238.00,0,52
239.00,0,52
240.00,0,52
241.00,0,52
242.00,0,52
243.00,0,53
244.00,0,53
245.00,0,53
246.00,0,53
247.00,0,54
248.00,0,54
249.00,0,54
250.00,0,54
251.00,0,54
252.00,0,55
253.00,0,55
254.00,0,55
255.00,0,55
256.00,0,56
257.00,0,56
258.00,0,56
259.00,0,56
260.00,0,56
261.00,0,57
262.00,0,57
263.00,0,57
264.00,0,57
265.00,0,58
266.00,0,58
267.00,0,58
268.00,0,58
269.00,0,58
270.00,0,59
271.00,0,59
272.00,0,59
273.00,0,59
274.00,0,60
275.00,0,60
276.00,0,60
277.00,0,60
278.00,0,60
279.00,0,61
280.00,0,61
281.00,0,61
282.00,0,61
283.00,0,62
284.00,0,62
285.00,0,62
286.00,0,62
287.00,0,62
288.00,0,63
289.00,0,63
290.00,0,63
291.00,0,63
292.00,0,64
293.00,0,64
294.00,0,64
295.00,0,64
296.00,0,64
297.00,0,65
298.00,0,65
299.00,0,65
300.00,0,65
301.00,0,65
302.00,0,66
303.00,0,66
304.00,0,66
305.00,0,66
306.00,0,67
307.00,0,67
308.00,0,67
309.00,0,67
310.00,0,67
311.00,0,68
312.00,0,68
313.00,0,68
314.00,0,68
315.00,0,69
316.00,0,69
317.00,0,69
318.00,0,69
319.00,0,69
320.00,0,70
321.00,0,70
322.00,0,70
323.00,0,70
324.00,0,71
325.00,0,71
326.00,0,71
327.00,0,71
328.00,0,71
329.00,0,72
330.00,0,72
331.00,0,72
332.00,0,72
333.00,0,73
334.00,0,73
335.00,0,73
336.00,0,73
337.00,0,73
338.00,0,74
339.00,0,74
340.00,0,74
341.00,0,74
342.00,0,75
343.00,0,75
344.00,0,75
345.00,0,75
346.00,0,75
347.00,0,76
348.00,0,76
349.00,0,76
350.00,0,76
351.00,0,77
352.00,0,77
353.00,0,77
354.00,0,77
355.00,0,77
356.00,0,78
357.00,1,78
358.00,1,78
359.00,1,78
360.00,1,79
361.00,1,79
362.00,2,79
363.00,2,80
364.00,2,80
365.00,2,80
366.00,2,81
367.00,2,81
368.00,3,81
369.00,3,82
370.00,3,82
371.00,3,82
372.00,3,83
373.00,4,83
374.00,4,83
375.00,4,84
376.00,4,84
377.00,4,84
378.00,5,85
379.00,5,85
380.00,5,85
381.00,5,86
382.00,5,86
383.00,5,86
384.00,6,87
385.00,6,87
386.00,6,87
387.00,6,88
388.00,6,88
389.00,7,88
390.00,7,89
391.00,7,89
392.00,7,89
393.00,7,90
394.00,8,90
395.00,8,91
396.00,8,91
397.00,8,91
398.00,9,92
399.00,9,92
400.00,9,92
401.00,10,93
402.00,10,93
403.00,10,93
404.00,10,94
405.00,11,94
406.00,11,94
407.00,11,95
408.00,12,95
409.00,12,95
410.00,12,96
411.00,13,96
412.00,13,96
413.00,13,97
414.00,13,97
415.00,14,97
416.00,14,98
417.00,14,98
418.00,15,98
419.00,15,99
420.00,15,99
421.00,15,99
422.00,16,100
423.00,16,100
424.00,16,100
425.00,17,101
426.00,17,101
427.00,17,101
428.00,17,102
429.00,18,102
430.00,18,102
431.00,18,103
432.00,19,103
433.00,19,104
434.00,19,104
435.00,19,104
436.00,20,105
437.00,20,105
438.00,20,105
439.00,21,106
440.00,21,106
441.00,21,106
442.00,21,107
443.00,22,107
444.00,22,107
445.00,22,108
446.00,23,108
447.00,23,108
448.00,23,109
449.00,24,109
450.00,24,109
451.00,24,110
452.00,24,110
453.00,25,110
454.00,25,111
455.00,25,111
456.00,26,111
457.00,26,112
458.00,26,112
459.00,26,112
460.00,27,113
461.00,27,113
462.00,27,113
463.00,28,114
464.00,28,114
465.00,28,114
466.00,28,115
467.00,28,115
468.00,29,116
469.00,29,116
470.00,29,116
471.00,29,117
472.00,29,117
473.00,30,117
474.00,30,118
475.00,30,118
476.00,30,118
477.00,31,119
478.00,31,119
479.00,31,119
480.00,31,120
481.00,31,120
482.00,32,120
483.00,32,121
484.00,32,121
485.00,32,121
486.00,32,122
487.00,33,122
488.00,33,122
489.00,33,123
490.00,33,123
491.00,33,123
492.00,34,124
493.00,34,124
494.00,34,124
495.00,34,125
496.00,34,125
497.00,35,125
498.00,35,126
499.00,35,126
500.00,35,126
501.00,35,127
502.00,36,127
503.00,36,128
504.00,36,128
505.00,36,128
506.00,36,129
507.00,37,129
508.00,37,129
509.00,37,130
510.00,37,130
511.00,37,130
512.00,38,131
513.00,38,131
514.00,38,131
515.00,38,132
516.00,39,132
517.00,39,132
518.00,39,133
519.00,39,133
520.00,39,133
521.00,40,134
522.00,40,134
523.00,40,134
524.00,40,135
525.00,40,135
526.00,41,135
527.00,41,136
528.00,41,136
529.00,41,136
530.00,41,137
531.00,42,137
532.00,42,137
533.00,42,138
534.00,42,138
535.00,42,138
536.00,43,139
537.00,43,139
538.00,43,140
539.00,43,140
540.00,43,140
541.00,44,141
542.00,44,141
543.00,44,141
544.00,44,142
545.00,44,142
546.00,45,142
547.00,45,143
548.00,45,143
549.00,45,143
550.00,45,144
551.00,46,144
552.00,46,144
553.00,46,145
554.00,46,145
555.00,47,145
556.00,47,146
557.00,47,146
558.00,47,146
559.00,47,147
560.00,48,147
561.00,48,147
562.00,48,148
563.00,48,148
564.00,48,148
565.00,49,149
566.00,49,149
567.00,49,149
568.00,49,150
569.00,49,150
570.00,50,150
571.00,50,151
572.00,50,151
573.00,50,152
574.00,50,152
575.00,51,152
576.00,51,153
577.00,51,153
578.00,51,153
579.00,51,154
580.00,52,154
581.00,52,154
582.00,52,155
583.00,52,155
584.00,52,155
585.00,53,156
586.00,53,156
587.00,53,156
588.00,53,157
589.00,53,157
590.00,54,157
591.00,54,158
592.00,54,158
593.00,54,158
594.00,55,159
595.00,55,159
596.00,55,159
597.00,55,160
598.00,55,160
599.00,56,160
600.00,56,161
601.00,56,161
602.00,56,161
603.00,56,162
604.00,57,162
605.00,57,162
606.00,57,163
607.00,57,163
608.00,57,163
609.00,58,164
610.00,58,164
611.00,58,165
612.00,58,165
613.00,58,165
614.00,59,166
615.00,59,166
616.00,59,166
617.00,59,167
618.00,59,167
619.00,60,167
620.00,60,168
621.00,60,168
622.00,60,168
623.00,60,169
624.00,61,169
625.00,61,169
626.00,61,170
627.00,61,170
628.00,61,170
629.00,62,171
630.00,62,171
631.00,62,171
632.00,62,172
633.00,63,172
634.00,63,172
635.00,63,173
636.00,63,173
637.00,63,173
638.00,64,174
639.00,64,174
640.00,64,174
641.00,64,175
642.00,64,175
643.00,65,175
644.00,65,176
645.00,65,176
646.00,65,177
647.00,65,177
648.00,66,177
649.00,66,178
650.00,66,178
651.00,66,178
652.00,66,179
653.00,67,179
654.00,67,179
655.00,67,180
656.00,67,180
657.00,67,180
658.00,68,181
659.00,68,181
660.00,68,181
661.00,68,182
662.00,68,182
663.00,69,182
664.00,69,183
665.00,69,183
666.00,69,183
667.00,69,184
668.00,70,184
669.00,70,184
670.00,70,185
671.00,70,185
672.00,70,185
673.00,71,186
674.00,71,186
675.00,71,186
676.00,71,187
677.00,72,187
678.00,72,187
679.00,72,188
680.00,72,188
681.00,72,189
682.00,73,189
683.00,73,189
684.00,73,190
685.00,73,190
686.00,73,190
687.00,74,191
688.00,74,191
689.00,74,191
690.00,74,192
691.00,74,192
692.00,75,192
693.00,75,193
694.00,75,193
695.00,75,193
696.00,75,194
697.00,76,194
698.00,76,194
699.00,76,195
700.00,76,195
701.00,76,195
702.00,77,196
703.00,77,196
704.00,77,196
705.00,77,197
706.00,77,197
707.00,78,197
708.00,78,198
709.00,78,198
710.00,78,198
711.00,79,199
712.00,79,199
713.00,79,199
714.00,80,200
715.00,80,200
716.00,80,201
717.00,81,201
718.00,81,201
719.00,81,202
720.00,82,202
721.00,82,202
722.00,82,203
723.00,83,203
724.00,83,203
725.00,83,204
726.00,84,204
727.00,84,204
728.00,84,205
729.00,85,205
730.00,85,205
731.00,85,206
732.00,86,206
733.00,86,206
734.00,86,207
735.00,87,207
736.00,87,207
737.00,87,208
738.00,88,208
739.00,88,208
740.00,88,209
741.00,89,209
742.00,89,209
743.00,90,210
744.00,90,210
745.00,90,210
746.00,91,211
747.00,91,211
748.00,91,211
749.00,92,212
750.00,92,212
751.00,92,213
752.00,93,213
753.00,93,213
754.00,93,214
755.00,94,214
756.00,94,214
757.00,94,215
758.00,95,215
759.00,95,215
760.00,95,216
761.00,96,216
762.00,96,216
763.00,96,217
764.00,97,217
765.00,97,217
766.00,97,218
767.00,98,218
768.00,98,218
769.00,98,219
770.00,99,219
771.00,99,219
772.00,99,220
773.00,100,220
774.00,100,220
775.00,100,221
776.00,101,221
777.00,101,221
778.00,102,222
779.00,102,222
780.00,102,222
781.00,103,223
782.00,103,223
783.00,103,223
784.00,104,224
785.00,104,224
786.00,104,224
787.00,105,225
788.00,105,225
789.00,105,226
790.00,106,226
791.00,106,226
792.00,106,227
793.00,107,227
794.00,107,227
795.00,107,228
796.00,108,228
797.00,108,228
798.00,108,229
799.00,109,229
800.00,109,229
801.00,109,230
802.00,110,230
803.00,110,230
804.00,110,231
805.00,111,231
806.00,111,231
807.00,111,232
808.00,112,232
809.00,112,232
810.00,112,233
811.00,113,233
812.00,113,233
813.00,114,234
814.00,114,234
815.00,114,234
816.00,115,235
817.00,115,235
818.00,115,235
819.00,116,236
820.00,116,236
821.00,116,236
822.00,117,237
823.00,117,237
824.00,117,238
825.00,118,238
826.00,118,238
827.00,118,239
828.00,119,239
829.00,119,239
830.00,119,240
831.00,120,240
832.00,120,240
833.00,120,241
834.00,121,241
835.00,121,241
836.00,121,242
837.00,122,242
838.00,122,242
839.00,122,243
840.00,123,243
841.00,123,243
842.00,123,244
843.00,124,244
844.00,124,244
845.00,124,245
846.00,125,245
847.00,125,245
848.00,126,246
849.00,126,246
850.00,126,246
851.00,127,247
852.00,127,247
853.00,127,247
854.00,128,248
855.00,128,248
856.00,128,248
857.00,129,249
858.00,129,249
859.00,129,250
860.00,130,250
861.00,130,250
862.00,130,251
863.00,131,251
864.00,131,251
865.00,131,252
866.00,132,252
867.00,132,252
868.00,132,253
869.00,133,253
870.00,133,253
871.00,133,254
872.00,134,254
873.00,134,254
874.00,134,255
875.00,135,255
876.00,135,255
877.00,135,256
878.00,136,256
879.00,136,256
880.00,136,257
881.00,137,257
882.00,137,257
883.00,138,258
884.00,138,258
885.00,138,258
886.00,139,259
887.00,139,259
888.00,139,259
889.00,140,260
890.00,140,260
891.00,140,260
892.00,141,261
893.00,141,261
894.00,141,262
895.00,142,262
896.00,142,262
897.00,142,263
898.00,143,263
899.00,143,263
900.00,143,264
901.00,144,264
902.00,144,264
903.00,144,265
904.00,145,265
905.00,145,265
906.00,145,266
907.00,146,266
908.00,146,266
909.00,146,267
910.00,147,267
911.00,147,267
912.00,147,268
913.00,148,268
914.00,148,268
915.00,148,269
916.00,149,269
917.00,149,269
918.00,149,270
919.00,150,270
920.00,150,270
921.00,151,271
922.00,151,271
923.00,151,271
924.00,152,272
925.00,152,272
926.00,152,272
927.00,153,273
928.00,153,273
929.00,153,274
930.00,154,274
931.00,154,274
932.00,154,275
933.00,155,275
934.00,155,275
935.00,155,276
936.00,156,276
937.00,156,276
938.00,156,277
939.00,157,277
940.00,157,277
941.00,157,278
942.00,158,278
943.00,158,278
944.00,158,279
945.00,159,279
946.00,159,279
947.00,159,280
948.00,160,280
949.00,160,280
950.00,160,281
951.00,161,281
952.00,161,281
953.00,161,282
954.00,162,282
955.00,162,282
956.00,163,283
957.00,163,283
958.00,163,283
959.00,164,284
960.00,164,284
961.00,164,284
962.00,165,285
963.00,165,285
964.00,165,285
965.00,166,286
966.00,166,286
967.00,166,286
968.00,167,287
969.00,167,287
970.00,167,287
971.00,168,288
972.00,168,288
973.00,168,288
974.00,169,289
975.00,169,289
976.00,169,289
977.00,170,290
978.00,170,290
979.00,170,291
980.00,171,291
981.00,171,291
982.00,171,292
983.00,172,292
984.00,172,292
985.00,172,293
986.00,173,293
987.00,173,293
988.00,173,294
989.00,174,294
990.00,174,294
991.00,175,295
992.00,175,295
993.00,175,295
994.00,176,296
995.00,176,296
996.00,176,296
997.00,177,297
998.00,177,297
999.00,177,297
1000.00,178,298
1001.00,178,298
1002.00,178,298
1003.00,179,299
1004.00,179,299
1005.00,179,299
1006.00,180,300
1007.00,180,300
1008.00,180,300
1009.00,181,301
1010.00,181,301
1011.00,181,301
1012.00,182,302
1013.00,182,302
1014.00,182,302
1015.00,183,303
1016.00,183,303
1017.00,183,303
1018.00,184,304
1019.00,184,304
1020.00,184,304
1021.00,185,305
1022.00,185,305
1023.00,185,305
1024.00,186,306
1025.00,186,306
1026.00,187,306
1027.00,187,307
1028.00,187,307
1029.00,188,308
1030.00,188,308
1031.00,188,308
1032.00,189,309
1033.00,189,309
1034.00,189,309
1035.00,190,310
1036.00,190,310
1037.00,190,310
1038.00,191,311
1039.00,191,311
1040.00,191,311
1041.00,192,312
1042.00,192,312
1043.00,192,312
1044.00,193,313
1045.00,193,313
1046.00,193,313
1047.00,194,314
1048.00,194,314
1049.00,194,314
1050.00,195,315
1051.00,195,315
1052.00,195,315
1053.00,196,316
1054.00,196,316
1055.00,196,316
1056.00,197,317
1057.00,197,317
1058.00,197,317
1059.00,198,318
1060.00,198,318
1061.00,199,318
1062.00,199,319
1063.00,199,319
1064.00,200,319
1065.00,200,320
1066.00,200,320
1067.00,201,320
1068.00,201,321
1069.00,201,321
1070.00,202,321
1071.00,202,322
1072.00,202,322
1073.00,203,322
1074.00,203,323
1075.00,203,323
1076.00,204,323
1077.00,204,324
1078.00,204,324
1079.00,205,325
1080.00,205,325
1081.00,205,325
1082.00,206,326
1083.00,206,326
1084.00,206,326
1085.00,207,327
1086.00,207,327
1087.00,207,327
1088.00,208,328
1089.00,208,328
1090.00,208,328
1091.00,209,329
1092.00,209,329
1093.00,209,329
1094.00,210,330
1095.00,210,330
1096.00,210,330
1097.00,211,331
1098.00,211,331
1099.00,212,331
1100.00,212,332
1101.00,212,332
1102.00,213,332
1103.00,213,333
1104.00,213,333
1105.00,214,333
1106.00,214,334
1107.00,214,334
1108.00,215,334
1109.00,215,335
1110.00,215,335
1111.00,216,335
1112.00,216,336
1113.00,216,336
1114.00,217,336
1115.00,217,337
1116.00,217,337
1117.00,218,337
1118.00,218,338
1119.00,218,338
1120.00,219,338
1121.00,219,339
1122.00,219,339
1123.00,220,339
1124.00,220,340
1125.00,220,340
1126.00,221,340
1127.00,221,341
1128.00,221,341
1129.00,222,342
1130.00,222,342
1131.00,222,342
1132.00,223,343
1133.00,223,343
1134.00,224,343
1135.00,224,344
1136.00,224,344
1137.00,225,344
1138.00,225,345
1139.00,225,345
1140.00,226,345
1141.00,226,346
1142.00,226,346
1143.00,227,346
1144.00,227,347
1145.00,227,347
1146.00,228,347
1147.00,228,348
1148.00,228,348
1149.00,229,348
1150.00,229,349
1151.00,229,349
1152.00,230,349
1153.00,230,350
1154.00,230,350
1155.00,231,350
1156.00,231,351
1157.00,231,351
1158.00,232,351
1159.00,232,352
1160.00,232,352
1161.00,233,352
1162.00,233,353
1163.00,233,353
1164.00,234,353
1165.00,234,354
1166.00,234,354
1167.00,235,354
1168.00,235,355
1169.00,236,355
1170.00,236,355
1171.00,236,356
1172.00,237,356
1173.00,237,356
1174.00,237,357
1175.00,238,357
1176.00,238,357
1177.00,238,358
1178.00,239,358
1179.00,239,359
1180.00,239,359
1181.00,240,359
1182.00,240,360
1183.00,240,360
1184.00,241,360
1185.00,241,361
1186.00,241,361
1187.00,242,361
1188.00,242,362
1189.00,242,362
1190.00,243,362
1191.00,243,363
1192.00,243,363
1193.00,244,364
1194.00,244,364
1195.00,244,364
1196.00,245,365
1197.00,245,365
1198.00,245,365
1199.00,246,366
1200.00,246,366
1201.00,246,367
1202.00,247,367
1203.00,247,367
1204.00,248,368
1205.00,248,368
1206.00,248,369
1207.00,249,369
1208.00,249,369
1209.00,249,370
1210.00,250,370
1211.00,250,370
1212.00,250,371
1213.00,251,371
1214.00,251,372
1215.00,251,372
1216.00,252,372
1217.00,252,373
1218.00,252,373
1219.00,253,374
1220.00,253,374
1221.00,253,374
1222.00,254,375
1223.00,254,375
1224.00,254,375
1225.00,255,376
1226.00,255,376
1227.00,255,377
1228.00,256,377
1229.00,256,377
1230.00,256,378
1231.00,257,378
1232.00,257,379
1233.00,257,379
1234.00,258,379
1235.00,258,380
1236.00,258,380
1237.00,259,380
1238.00,259,381
1239.00,260,381
1240.00,260,382
1241.00,260,382
1242.00,261,382
1243.00,261,383
1244.00,261,383
1245.00,262,384
1246.00,262,384
1247.00,262,384
1248.00,263,385
1249.00,263,385
1250.00,263,385
1251.00,264,386
1252.00,264,386
1253.00,264,387
1254.00,265,387
1255.00,265,387
1256.00,265,388
1257.00,266,388
1258.00,266,389
1259.00,266,389
1260.00,267,389
1261.00,267,390
1262.00,267,390
1263.00,268,390
1264.00,268,391
1265.00,268,391
1266.00,269,392
1267.00,269,392
1268.00,269,392
1269.00,270,393
1270.00,270,393
1271.00,270,394
1272.00,271,394
1273.00,271,394
1274.00,271,395
1275.00,272,395
1276.00,272,395
1277.00,273,396
1278.00,273,396
1279.00,273,397
1280.00,274,397
1281.00,274,397
1282.00,274,398
1283.00,275,398
1284.00,275,399
1285.00,275,399
1286.00,276,399
1287.00,276,400
1288.00,276,400
1289.00,277,400
1290.00,277,401
1291.00,277,401
1292.00,278,402
1293.00,278,402
1294.00,278,402
1295.00,279,403
1296.00,279,403
1297.00,279,404
1298.00,280,404
1299.00,280,404
1300.00,280,405
1301.00,281,405
1302.00,281,405
1303.00,281,406
1304.00,282,406
1305.00,282,407
1306.00,282,407
1307.00,283,407
1308.00,283,408
1309.00,283,408
1310.00,284,409
1311.00,284,409
1312.00,284,409
1313.00,285,410
1314.00,285,410
1315.00,285,410
1316.00,286,411
1317.00,286,411
1318.00,286,412
1319.00,287,412
1320.00,287,412
1321.00,287,413
1322.00,288,413
1323.00,288,414
1324.00,289,414
1325.00,289,414
1326.00,289,415
1327.00,290,415
1328.00,290,415
1329.00,290,416
1330.00,291,416
1331.00,291,417
1332.00,291,417
1333.00,292,417
1334.00,292,418
1335.00,292,418
1336.00,293,419
1337.00,293,419
1338.00,293,419
1339.00,294,420
1340.00,294,420
1341.00,294,420
1342.00,295,421
1343.00,295,421
1344.00,295,422
1345.00,296,422
1346.00,296,422
1347.00,296,423
1348.00,297,423
1349.00,297,424
1350.00,297,424
1351.00,298,424
1352.00,298,425
1353.00,298,425
1354.00,299,426
1355.00,299,426
1356.00,299,426
1357.00,300,427
1358.00,300,427
1359.00,300,427
1360.00,301,428
1361.00,301,428
1362.00,301,429
1363.00,302,429
1364.00,302,429
1365.00,302,430
1366.00,303,430
1367.00,303,431
1368.00,303,431
1369.00,304,431
1370.00,304,432
1371.00,304,432
1372.00,305,432
1373.00,305,433
1374.00,306,433
1375.00,306,434
1376.00,306,434
1377.00,307,434
1378.00,307,435
1379.00,307,435
1380.00,308,436
1381.00,308,436
1382.00,308,436
1383.00,309,437
1384.00,309,437
1385.00,309,437
1386.00,310,438
1387.00,310,438
1388.00,310,439
1389.00,311,439
1390.00,311,439
1391.00,311,440
1392.00,312,440
1393.00,312,441
1394.00,312,441
1395.00,313,441
1396.00,313,442
1397.00,313,442
1398.00,314,442
1399.00,314,443
1400.00,314,443
1401.00,315,444
1402.00,315,444
1403.00,315,444
1404.00,316,445
1405.00,316,445
1406.00,316,446
1407.00,317,446
1408.00,317,446
1409.00,317,447
1410.00,318,447
1411.00,318,447
1412.00,318,448
1413.00,319,448
1414.00,319,449
1415.00,319,449
1416.00,320,449
1417.00,320,450
1418.00,320,450
1419.00,321,451
1420.00,321,451
1421.00,321,451
1422.00,322,452
1423.00,322,452
1424.00,323,452
1425.00,323,453
1426.00,323,453
1427.00,324,454
1428.00,324,454
1429.00,324,454
1430.00,325,455
1431.00,325,455
1432.00,325,456
1433.00,326,456
1434.00,326,456
1435.00,326,457
1436.00,327,457
1437.00,327,457
1438.00,327,458
1439.00,328,458
1440.00,328,459
1441.00,328,459
1442.00,329,459
1443.00,329,460
1444.00,329,460
1445.00,330,461
1446.00,330,461
1447.00,330,461
1448.00,331,462
1449.00,331,462
1450.00,331,462
1451.00,332,463
1452.00,332,463
1453.00,332,464
1454.00,333,464
1455.00,333,464
1456.00,333,465
1457.00,334,465
1458.00,334,466
1459.00,334,466
1460.00,335,466
1461.00,335,467
1462.00,335,467
1463.00,336,467
1464.00,336,468
1465.00,336,468
1466.00,337,469
1467.00,337,469
1468.00,337,469
1469.00,338,470
1470.00,338,470
1471.00,338,471
1472.00,339,471
1473.00,339,471
1474.00,340,472
1475.00,340,472
1476.00,340,472
1477.00,341,473
1478.00,341,473
1479.00,341,474
1480.00,342,474
1481.00,342,474
1482.00,342,475
1483.00,343,475
1484.00,343,476
1485.00,343,476
1486.00,344,476
1487.00,344,477
1488.00,344,477
1489.00,345,477
1490.00,345,478
1491.00,345,478
1492.00,346,479
1493.00,346,479
1494.00,346,479
1495.00,347,480
1496.00,347,480
1497.00,347,481
1498.00,348,481
1499.00,348,481
1500.00,348,482
1501.00,349,482
1502.00,349,482
1503.00,349,483
1504.00,350,483
1505.00,350,484
1506.00,350,484
1507.00,351,484
1508.00,351,485
1509.00,351,485
1510.00,352,486
1511.00,352,486
1512.00,352,486
1513.00,353,487
1514.00,353,487
1515.00,353,487
1516.00,354,488
1517.00,354,488
1518.00,354,489
1519.00,355,489
1520.00,355,489
1521.00,355,490
1522.00,356,490
1523.00,356,491
1524.00,357,491
1525.00,357,491
1526.00,357,492
1527.00,358,492
1528.00,358,492
1529.00,358,493
1530.00,359,493
1531.00,359,494
1532.00,359,494
1533.00,360,494
1534.00,360,495
1535.00,360,495
1536.00,361,496
1537.00,361,496
1538.00,361,496
1539.00,362,497
1540.00,362,497
1541.00,362,497
1542.00,363,498
1543.00,363,498
1544.00,364,499
1545.00,364,499
1546.00,364,499
1547.00,365,500
1548.00,365,500
1549.00,366,501
1550.00,366,501
1551.00,366,501
1552.00,367,502
1553.00,367,502
1554.00,367,503
1555.00,368,503
1556.00,368,503
1557.00,369,504
1558.00,369,504
1559.00,369,504
1560.00,370,505
1561.00,370,505
1562.00,371,506
1563.00,371,506
1564.00,371,506
1565.00,372,507
1566.00,372,507
1567.00,372,508
1568.00,373,508
1569.00,373,508
1570.00,374,509
1571.00,374,509
1572.00,374,509
1573.00,375,510
1574.00,375,510
1575.00,376,511
1576.00,376,511
1577.00,376,511
1578.00,377,512
1579.00,377,512
1580.00,377,513
1581.00,378,513
1582.00,378,513
1583.00,379,514
1584.00,379,514
1585.00,379,514
1586.00,380,515
1587.00,380,515
1588.00,381,516
1589.00,381,516
1590.00,381,516
1591.00,382,517
1592.00,382,517
1593.00,382,518
1594.00,383,518
1595.00,383,518
1596.00,384,519
1597.00,384,519
1598.00,384,519
1599.00,385,520
1600.00,385,520
1601.00,386,521
1602.00,386,521
1603.00,386,521
1604.00,387,522
1605.00,387,522
1606.00,387,523
1607.00,388,523
1608.00,388,523
1609.00,389,524
1610.00,389,524
1611.00,389,524
1612.00,390,525
1613.00,390,525
1614.00,391,526
1615.00,391,526
1616.00,391,526
1617.00,392,527
1618.00,392,527
1619.00,392,528
1620.00,393,528
1621.00,393,528
1622.00,394,529
1623.00,394,529
1624.00,394,529
1625.00,395,530
1626.00,395,530
1627.00,396,531
1628.00,396,531
1629.00,396,531
1630.00,397,532
1631.00,397,532
1632.00,397,533
1633.00,398,533
1634.00,398,533
1635.00,399,534
1636.00,399,534
1637.00,399,534
1638.00,400,535
1639.00,400,535
1640.00,401,536
1641.00,401,536
1642.00,401,536
1643.00,402,537
1644.00,402,537
1645.00,402,538
1646.00,403,538
1647.00,403,538
1648.00,404,539
1649.00,404,539
1650.00,404,539
1651.00,405,540
1652.00,405,540
1653.00,406,541
1654.00,406,541
1655.00,406,541
1656.00,407,542
1657.00,407,542
1658.00,407,543
1659.00,408,543
1660.00,408,543
1661.00,409,544
1662.00,409,544
1663.00,409,544
